PeuXanth	AB176954	Pseudomonas xanthomarina	KMM 1447	
PeuFormo	JF432053	Pseudomonas formosensis	CC-CY503	
PeuPert2	EF673695	Pseudomonas pertucinogena	IFO 14163	
PeuXiame	DQ088664	Pseudomonas xiamenensis	C10-2	
PeuBauza	GQ161991	Pseudomonas bauzanensis	BZ93	
PeuLitor	FN908483	Pseudomonas litoralis	2SM5	
Peu11478	KU716040	Pseudomonas	sp. SSM26	
PeuPel10	AROI01000066	Pseudomonas pelagia CL-AP6	CL-AP6	
PeuS2967	KC762324	Pseudomonas salina	XCD-X85	
PeuS6507	KY988340	Pseudomonas profundi	M5	
PeuXinj9	KC609749	Pseudomonas populi	KBL-4-9	
PeuXin34	LT629736	Pseudomonas xinjiangensis	NRRL B-51270	
PeuSab15	LT629763	Pseudomonas sabulinigri	JCM 14963	
PeuGalla	FN995250	Pseudomonas gallaeciensis	V113	
PeuS7396	MF962536	Pseudomonas	sp. MT5	
PeuPacha	AB125366	Pseudomonas pachastrellae	KMM 330	
PeuAestu	HG004394	Pseudomonas aestusnigri	CCUG 64165	
PeuOcean	KT449732	Pseudomonas oceani	DSM 100277	
PeuS8054	MF372122	Pseudomonas	sp. S-6-2	
PeuSale2	LT629787	Pseudomonas salegens	CECT 8338	
AcxKonj4	AF137507	Acidovorax konjaci	ICMP 7733	
PeuCissi	AB021399	Pseudomonas cissicola	ATCC 33616	
PeuGenic	AB021404	Pseudomonas geniculata	ATCC 19374	
PeuBoreo	AB021391	Pseudomonas boreopolis	ATCC 33662	
PeuCarbo	AB021393	Pseudomonas carboxydohydrogena	DSM 1083	
